url,filename,name,price,description,rating,category
https://m.media-amazon.com/images/I/41LPXRtQnAL._AC_UY218_.jpg,16_15.jpg,"Infinix Smart 8 HD, Shiny Gold (4GB, 64GB)","7,499","Infinix Smart 8 HD, Shiny Gold (4GB, 64GB)",N/A,sdffg
https://m.media-amazon.com/images/I/51TJ-EVSx4L._AC_UY218_.jpg,16_16.jpg,"POCO C55 (Cool Blue, 4GB RAM, 64GB Storage)","9,499","POCO C55 (Cool Blue, 4GB RAM, 64GB Storage)",4.0 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/715iHuJXgVL._AC_UY218_.jpg,16_17.jpg,"(Refurbished) Redmi Note 11S (Polar White, 6GB RAM, 64GB Storage)|108MP AI Quad Camera | 90 Hz FHD+ AMOLED Display | 33W Charger Included","9,999","(Refurbished) Redmi Note 11S (Polar White, 6GB RAM, 64GB Storage)|108MP AI Quad Camera | 90 Hz FHD+ AMOLED Display | 33W Charger Included",4.2 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51o10XJ1KOL._AC_UY218_.jpg,16_18.jpg,"MICROMAX IN MOBILE 1b (Blue, 64 GB ROM, 4 GB RAM)","7,999","MICROMAX IN MOBILE 1b (Blue, 64 GB ROM, 4 GB RAM)",3.7 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/41E97GWEyAL._AC_UY218_.jpg,16_19.jpg,Infinix Smart 8 4 GB 64 GB (Rainbow Blue),"7,349",Infinix Smart 8 4 GB 64 GB (Rainbow Blue),3.7 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/61ID345p2jL._AC_UY218_.jpg,17_3.jpg,realme C53 4G 6GB RAM Parent (Champion Black),"9,838",realme C53 4G 6GB RAM Parent (Champion Black),4.0 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/71hQwOPrzxL._AC_UY218_.jpg,17_4.jpg,"Amazon Basics Rotating Mobile Holder with Adjustable Bracket and 360 Swivel, for Any Tripod, Ring Light, Phone, Camera, and Video Camera, Ideal for Videographers and Photographers",232,"Amazon Basics Rotating Mobile Holder with Adjustable Bracket and 360 Swivel, for Any Tripod, Ring Light, Phone, Camera, and Video Camera, Ideal for Videographers and Photographers",4.2 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51hAp0oipjL._AC_UY218_.jpg,17_5.jpg,"IKALL Z20 Smartphone (4GB, 64GB) (Black)","6,499","IKALL Z20 Smartphone (4GB, 64GB) (Black)",3.0 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/71v0HUpQqHL._AC_UY218_.jpg,17_7.jpg,"Nokia C31, 6.74” HD+ display, 13+2+2 MP rear & 5MP front Google camera, 3-day battery life, Android 12 | Cyan, 4+64GB",N/A,"Nokia C31, 6.74” HD+ display, 13+2+2 MP rear & 5MP front Google camera, 3-day battery life, Android 12 | Cyan, 4+64GB",3.5 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/712tqhtIw1L._AC_UY218_.jpg,17_8.jpg,POCO C61 Ethereal Blue 6GB RAM 128GB ROM,N/A,POCO C61 Ethereal Blue 6GB RAM 128GB ROM,3.1 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51vHAQousTL._AC_UY218_.jpg,17_9.jpg,"HUMBLE Helmet Chin Mount with Mobile Holder, Motorcycle Helmet Strap Compatible with GoPro Hero 9 8 7 6 5 4 3+ 3 SJCAM and Mobile Phones.",349,"HUMBLE Helmet Chin Mount with Mobile Holder, Motorcycle Helmet Strap Compatible with GoPro Hero 9 8 7 6 5 4 3+ 3 SJCAM and Mobile Phones.",3.8 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/610s3cgYI9L._AC_UY218_.jpg,17_10.jpg,"(Refurbished) Mi Redmi Note 6 Pro (Rose Gold, 4GB, 64Gb)","5,975","(Refurbished) Mi Redmi Note 6 Pro (Rose Gold, 4GB, 64Gb)",3.4 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51kVviU7ZbL._AC_UY218_.jpg,17_11.jpg,"POCO C55 (Forest Green, 4GB RAM, 64GB Storage)",N/A,"POCO C55 (Forest Green, 4GB RAM, 64GB Storage)",4.0 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/61Ix+r8wtDL._AC_UY218_.jpg,17_12.jpg,QCare 1 Year Total Protection Plan for Mobile Between 7.5K to 10K (E-Mail Delivery),499,QCare 1 Year Total Protection Plan for Mobile Between 7.5K to 10K (E-Mail Delivery),3.3 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/81zLNgcvlaL._AC_UY218_.jpg,17_13.jpg,"(Refurbished) Redmi Note 11 (Horizon Blue, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in | 33W Charger Included","8,749","(Refurbished) Redmi Note 11 (Horizon Blue, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | Alexa Built-in | 33W Charger Included",3.1 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51BwVxswfPL._AC_UY218_.jpg,17_14.jpg,OneAssist 1 Year Extended Warranty Plan for Mobile Between INR 30001-35000 (E-Mail Delivery Only),"1,249",OneAssist 1 Year Extended Warranty Plan for Mobile Between INR 30001-35000 (E-Mail Delivery Only),4.1 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51BwVxswfPL._AC_UY218_.jpg,17_15.jpg,OneAssist 1 Year Extended Warranty Plan for Mobile Between INR 35001-50000 (E-Mail Delivery Only),"1,549",OneAssist 1 Year Extended Warranty Plan for Mobile Between INR 35001-50000 (E-Mail Delivery Only),3.6 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51BwVxswfPL._AC_UY218_.jpg,17_16.jpg,OneAssist 1 Year Extended Warranty Plan for Mobile Between INR 15001-20000 (E-Mail Delivery Only),649,OneAssist 1 Year Extended Warranty Plan for Mobile Between INR 15001-20000 (E-Mail Delivery Only),3.9 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/31QLIGIMXEL._AC_UY218_.jpg,17_17.jpg,"realme C21Y (Cross Blue, 4GB RAM, 64GB Storage), Medium","8,640","realme C21Y (Cross Blue, 4GB RAM, 64GB Storage), Medium",4.0 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/31OkjsbyUxL._AC_UY218_.jpg,17_18.jpg,"Motorola E22s (4GB, 64GB) (Arctic Blue)","7,990","Motorola E22s (4GB, 64GB) (Arctic Blue)",3.9 out of 5 stars,sdffg
https://m.media-amazon.com/images/I/51rqcKld5JL._AC_UY218_.jpg,17_19.jpg,"(Refurbished) Redmi 11 Prime (Playful Green, 4GB RAM, 64GB Storage) | Prime Design | High Performance He","7,499","(Refurbished) Redmi 11 Prime (Playful Green, 4GB RAM, 64GB Storage) | Prime Design | High Performance He",3.5 out of 5 stars,sdffg
